energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.765,0.709,171.091,0.0752,0.00402,0.000289,4,0.334,5,308378,-5.291,0.146,0,audio_features,spotify:track:0PkqenZoXyaAWH2JmpvKIL
0.957,0.411,158.216,0.149,0.00577,0.0,4,0.34,4,194620,-2.495,0.219,1,audio_features,spotify:track:05fXbOJ0rzhzIbIGlciRVZ
0.77,0.133,137.933,0.0497,0.0142,0.0138,3,0.493,6,221952,-6.88,0.143,1,audio_features,spotify:track:5sAy6XN40CyueYzEszaVIr
0.701,0.0858,126.989,0.0313,0.00118,0.00269,4,0.578,2,223000,-6.63,0.234,1,audio_features,spotify:track:2PDDWBc27xCbDcC0MZVD45
0.84,0.13,160.013,0.0409,0.288,0.0,4,0.444,2,219375,-4.717,0.363,1,audio_features,spotify:track:1vmai67CX7IBmkuWggu7FS
0.647,0.17,95.923,0.0407,0.114,0.0,4,0.564,10,174395,-6.759,0.458,0,audio_features,spotify:track:463r5bsN1VqGXtaMctn4Rr
0.891,0.28,121.987,0.0766,0.000156,0.000239,4,0.572,0,304693,-7.599,0.462,1,audio_features,spotify:track:52vejQjO6dMArX2P6yRqrP
0.987,0.11,120.039,0.0804,0.00108,0.00984,4,0.527,4,304750,-3.502,0.096,0,audio_features,spotify:track:3si5YKMfvQtTBgLFDChRsi
0.509,0.0937,105.168,0.0258,0.196,1.4e-05,3,0.49,7,167680,-3.766,0.167,0,audio_features,spotify:track:5YICiSTdTX0y9wwA7CuNYh
0.48,0.0777,127.028,0.0407,0.868,0.0,4,0.622,1,139975,-8.95,0.178,0,audio_features,spotify:track:6jD01wFvjwVXkIr9uHDlJ2
0.949,0.28,128.979,0.0614,0.000142,0.0,4,0.492,4,239543,-5.066,0.157,0,audio_features,spotify:track:1RmFNIru9fiiKCIS38qcXs
0.438,0.111,185.711,0.0358,0.0447,0.000867,3,0.247,5,198213,-8.478,0.39,1,audio_features,spotify:track:0I1eFRytp4XRhLCjT6tZm7
0.587,0.107,107.474,0.0373,0.687,0.0499,4,0.78,7,156250,-8.309,0.322,1,audio_features,spotify:track:6IW56BQYrmMniYZBwGCNeL
0.803,0.112,159.993,0.0368,8.57e-05,0.0171,4,0.464,8,204657,-11.47,0.44,1,audio_features,spotify:track:0ikWO9UJX73yeiv2FkLdn6
0.709,0.313,140.035,0.0429,4.92e-05,0.00304,3,0.429,8,286251,-12.218,0.275,1,audio_features,spotify:track:3Htg9pCWALN8VUJhOSAXl5
0.782,0.154,149.895,0.0522,0.000312,0.839,3,0.27,0,349841,-4.663,0.158,1,audio_features,spotify:track:0Ych4sOVFXBdJHE0PlCb8H
0.108,0.0736,75.76,0.0363,0.967,0.938,4,0.26,1,201220,-19.542,0.134,0,audio_features,spotify:track:1PCWQq7JrNFxgQiHyjY8jK
0.856,0.141,111.999,0.0445,0.000654,0.614,4,0.478,10,223053,-8.217,0.149,1,audio_features,spotify:track:51jXNzaO7ODLxW12pPnl7P
0.723,0.572,159.981,0.0521,7.43e-05,0.551,4,0.246,5,311040,-9.401,0.132,1,audio_features,spotify:track:1lklm7l2pWgjHqNtlvTtgR
0.646,0.11,179.972,0.0276,0.00117,0.859,4,0.388,2,405536,-6.817,0.16,1,audio_features,spotify:track:2hePbgQ0agdXo3bVw5WI2u
0.793,0.205,167.887,0.0469,0.000356,0.865,4,0.174,4,241227,-6.5,0.0421,0,audio_features,spotify:track:1ipAB0J5JVEY0nrMH8TBGJ
0.618,0.111,95.019,0.0277,0.014,0.915,4,0.477,6,338526,-7.515,0.291,0,audio_features,spotify:track:2UXQAoprxJqyuB8xAgN3dK
